rank,cluster_id,cluster_label,product,customer_count,ticket_count_total,jira_ticket_count,account_active_arr_total,open_count,open_ratio,rank_score,priority_label,priority_reasoning,cluster_description,representative_examples,customer_names,request_ids
83,SEM-0029,[IDT] — Supply type Bifurcation,IDT,1,1,0,2836500.0,1,1.0,0.2146,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Kids clinic india private limited). ARR at risk: ₹2,836,500. Open tickets: 1/1. Key themes from customer descriptions: line, items, document, b2c, exempt, when, contains, multiple. Most representative complaint: ""When a document contains multiple line items with differing supply types, the items are merged and the document is classified as B2C. For example, ABC01 includes both taxable and exempt line items, yet the exempt line is processed as a B2C at 0%. The data is uploaded via GL transformation files.""","When a document contains multiple line items with differing supply types, the items are merged and the document is classified as B2C. For example, ABC01 includes both taxable and e...",Kids clinic india private limited,1052293
84,SEM-0068,[IDT] — Feature Request,IDT,1,1,0,2630516.0,1,1.0,0.2138,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Sundaram Home Finance Limited). ARR at risk: ₹2,630,516. Open tickets: 1/1. Key themes from customer descriptions: gstr, filing, return, client, requested, feature, freeze, data. Most representative complaint: ""The client requested a feature to freeze the GSTR-3B data after filing for each return period, as they have observed that the values continue to change post-filing and no longer match the filed GSTR-3B summary for previous return periods.""","The client requested a feature to freeze the GSTR-3B data after filing for each return period, as they have observed that the values continue to change post-filing and no longer ma...",Sundaram Home Finance Limited,1066900
85,SEM-0083,[IDT] — Feature Request,IDT,1,1,0,2447950.0,1,1.0,0.2132,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (THE INDIAN HUME PIPE COMPANY LIMITED). ARR at risk: ₹2,447,950. Open tickets: 1/1. Key themes from customer descriptions: missing, invoice, template, documents, level, details, email, only. Most representative complaint: ""Missing Documents – Invoice Level Details in Email Template When applying the ""Missing Docs"" filter in Vendor View, the system currently displays only the count of missing documents. In the email template as well, only the missing document count is available for communication. Client requires an enh...""","Missing Documents – Invoice Level Details in Email Template When applying the ""Missing Docs"" filter in Vendor View, the system currently displays only the count of missing document...",THE INDIAN HUME PIPE COMPANY LIMITED,1059942
86,SEM-0023,[IDT] — GST report requirements from Clear Tax,IDT,1,1,0,2255000.0,1,1.0,0.2125,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Vivriti Capital). ARR at risk: ₹2,255,000. Open tickets: 1/1. Key themes from customer descriptions: gstr, gst, input, credit, register, team, client, having. Most representative complaint: ""Hi team, Client is having the below requirement. 1) Independent Report reflecting the GST input credit pertaining to FY 2024–25 which has not been claimed till date. 2) Reconciliation Statement – GSTR 3B vs GSTR 2B vs Purchase Register, comprising both summary and document-level views, presented per...""","Hi team, Client is having the below requirement. 1) Independent Report reflecting the GST input credit pertaining to FY 2024–25 which has not been claimed till date. 2) Reconciliat...",Vivriti Capital,1052340
87,SEM-0086,[IDT] — Provide option to upload excel file for User Access Management,IDT,1,1,0,1968000.0,1,1.0,0.2115,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (GREAVES COTTON LIMITED). ARR at risk: ₹1,968,000. Open tickets: 1/1. Key themes from customer descriptions: client, pans, users, few, more, than, wants, option. Most representative complaint: ""Client has 4 PANs with few PANs have more than 10-15 users. Client wants an option of excel ingestion for giving roles to multiple users""",Client has 4 PANs with few PANs have more than 10-15 users. Client wants an option of excel ingestion for giving roles to multiple users,GREAVES COTTON LIMITED,1049910
88,SEM-0090,[GL Stream] — GL Stream - Need further split in Sub-status column in Revenue GL,GL Stream,1,1,0,1968000.0,1,1.0,0.2115,Medium,,"Requirement area: [GL Stream] General Request. Impact: 1 ticket from 1 customer (GREAVES COTTON LIMITED). ARR at risk: ₹1,968,000. Open tickets: 1/1. Key themes from customer descriptions: state, goods, branch, transfer, gst, gets, greaves, cotton. Most representative complaint: ""Greaves cotton is a recently integrated client. They have branch transfer of goods within and outside the state. In case of inter-state branch transfer of goods, there is levy of GST which gets billed from supplier state to recipient state. In integration GST SR, this scenario coded properly. Howeve...""","Greaves cotton is a recently integrated client. They have branch transfer of goods within and outside the state. In case of inter-state branch transfer of goods, there is levy of G...",GREAVES COTTON LIMITED,1079928
89,SEM-0065,[IDT] — Feature Request for Validation of RCM Data in 3.1D and TA2+4A3,IDT,1,1,0,1470000.0,1,1.0,0.2097,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Au Small Finance Bank Limited). ARR at risk: ₹1,470,000. Open tickets: 1/1. Key themes from customer descriptions: data, customer, wish, validation, check, while, ingestion, should. Most representative complaint: ""Customer wish to have a validation check while ingestion of data that data in Table 3.1D should not be more than data in 4A2+4A3""",Customer wish to have a validation check while ingestion of data that data in Table 3.1D should not be more than data in 4A2+4A3,Au Small Finance Bank Limited,1080393
90,SEM-0071,[IDT] — Feature Request,IDT,1,1,0,1417500.0,1,1.0,0.2095,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Upscalio India Private Limited). ARR at risk: ₹1,417,500. Open tickets: 1/1. Key themes from customer descriptions: multiple, return, pdf, reports, feature, option, select, periods. Most representative complaint: ""Feature Request to have an option to select multiple return periods while downloading Government-filed GST PDF reports. Currently, the system allows selection of only one return period at a time, which limits usability and efficiency for users who need to download PDF reports for multiple months.""","Feature Request to have an option to select multiple return periods while downloading Government-filed GST PDF reports. Currently, the system allows selection of only one return pe...",Upscalio India Private Limited,1071665
91,SEM-0006,[IDT] — Restrict action on Time barred Invoice,IDT,1,1,0,1162000.0,1,1.0,0.2086,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Eaton Technologies Private Limited). ARR at risk: ₹1,162,000. Open tickets: 1/1. Key themes from customer descriptions: client, raised, feature, flag, which, itc, claim, duration. Most representative complaint: ""Client has raised a feature request to have a flag on which ITC claim duration is exhausted , that means they are time barred invoice.""","Client has raised a feature request to have a flag on which ITC claim duration is exhausted , that means they are time barred invoice.",Eaton Technologies Private Limited,1066276
92,SEM-0061,[IDT] — GSTR-6 SEZ Recipient Bifurcation while gnerating ISD documents,IDT,1,1,0,1162000.0,1,1.0,0.2086,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Eaton Technologies Private Limited). ARR at risk: ₹1,162,000. Open tickets: 1/1. Key themes from customer descriptions: still, when, system, does, distribution, isd, recipient, sez. Most representative complaint: ""When the system does distribution of isd and the recipient is sez , it still distribute to CGST, SGST instead of IGST . It is already highlighted in Retro calls , but still no eta is received. Kindly raise it to L3. Multiple client are facing issue due to this""","When the system does distribution of isd and the recipient is sez , it still distribute to CGST, SGST instead of IGST . It is already highlighted in Retro calls , but still no eta...",Eaton Technologies Private Limited,1058890
93,SEM-0079,[IDT] — Feature Request - PAN-level availability of PDFs for already-paid G...,IDT,1,1,0,1150000.0,1,1.0,0.2086,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Apl Apollo Tubes Limited). ARR at risk: ₹1,150,000. Open tickets: 1/1. Key themes from customer descriptions: feature, pan, level, availability, pdfs, already, paid, gstr. Most representative complaint: ""Feature Request - PAN-level availability of PDFs for already-paid GSTR-3B challans.""",Feature Request - PAN-level availability of PDFs for already-paid GSTR-3B challans.,Apl Apollo Tubes Limited,1078188
94,SEM-0101,[IDT] — Feature Request - GSTR-1/GSTR-3B Filed PDF for more than 1 return p...,IDT,1,1,0,1150000.0,1,1.0,0.2086,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Apl Apollo Tubes Limited). ARR at risk: ₹1,150,000. Open tickets: 1/1. Key themes from customer descriptions: gstr, feature, filed, pdf, more, than, return, period. Most representative complaint: ""Feature Request - GSTR-1/GSTR-3B Filed PDF for more than 1 return period in a single go.""",Feature Request - GSTR-1/GSTR-3B Filed PDF for more than 1 return period in a single go.,Apl Apollo Tubes Limited,1078189
95,SEM-0047,[Notice Tracker] — Feature Request for Notice Management,Notice Tracker,1,1,0,1100000.0,1,1.0,0.2084,Medium,,"Requirement area: [Notice Tracker] General Request. Impact: 1 ticket from 1 customer (Shyam Steel Industries Limited). ARR at risk: ₹1,100,000. Open tickets: 1/1. Key themes from customer descriptions: client, tool, auto, fetch, notices, group, level, some. Most representative complaint: ""The client need some features for notice management tool they are as follow: a. Auto-fetch functionality – The client has requested an auto-fetch option to avoid manually retrieving and entering CAPTCHA each time for getting updated notices. b. Group-level details – The client requires visibility at...""",The client need some features for notice management tool they are as follow: a. Auto-fetch functionality – The client has requested an auto-fetch option to avoid manually retrievin...,Shyam Steel Industries Limited,1050509
96,SEM-0014,[IDT] — GSTR -1A Filing Tab Not showing in Filing Tracker Report,IDT,1,1,0,850000.0,1,1.0,0.2075,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Signatureglobal (India) Private Limited). ARR at risk: ₹850,000. Open tickets: 1/1. Key themes from customer descriptions: gstr, clear, filing, tracker, tax, signature, dear, team. Most representative complaint: ""Dear Clear Team, Please find the attached GSTR Filing Tracker from the Clear Tax Portal. It appears that the GSTR-1A filing return is not showing. Kindly check and update the GSTR-1A tab in the tracker accordingly. [cid:image001.png@01DBA627.7C7F3B50] Thanks, Surya kanta Nayak Assistant Manager (F &...""","Dear Clear Team, Please find the attached GSTR Filing Tracker from the Clear Tax Portal. It appears that the GSTR-1A filing return is not showing. Kindly check and update the GSTR-...",Signatureglobal (India) Private Limited,1058897
97,SEM-0077,[DT] — EDIT option TDS UI,DT,1,1,0,750000.0,1,1.0,0.2072,Medium,,"Requirement area: [DT] General Request. Impact: 1 ticket from 1 customer (Delta Exchange). ARR at risk: ₹750,000. Open tickets: 1/1. Key themes from customer descriptions: edit, option, mandatorily, required, deductions, challans, deductee, lower. Most representative complaint: """"EDIT option in the following UI is mandatorily required: Deductions Challans Deductee Lower Deduction""","""EDIT option in the following UI is mandatorily required: Deductions Challans Deductee Lower Deduction",Delta Exchange,1078577
98,SEM-0070,[DT] — Even though the challans have been synced as you can see in the bel...,DT,1,1,0,682500.0,1,1.0,0.207,Medium,,"Requirement area: [DT] General Request. Impact: 1 ticket from 1 customer (Supriya Lifescience Limited). ARR at risk: ₹682,500. Open tickets: 1/1. Key themes from customer descriptions: does, should, appear, messaging, refer, screenshots, attached, case. Most representative complaint: ""The messaging(refer the screenshots attached to the case) does not seem appropriate in this scenario. Even when the challans are fully synced along with the consumed amount, this message should ideally not appear. If it does appear, it should be accompanied by an “i” (information) icon with a brief...""","The messaging(refer the screenshots attached to the case) does not seem appropriate in this scenario. Even when the challans are fully synced along with the consumed amount, this m...",Supriya Lifescience Limited,1078567
99,SEM-0100,[IDT] — Feature Request,IDT,1,1,0,700000.0,1,1.0,0.207,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Rail Vikas Nigam Limited). ARR at risk: ₹700,000. Open tickets: 1/1. Key themes from customer descriptions: reconciliation, section, since, multiple, groupings, being, performed, gstr. Most representative complaint: ""Since multiple groupings are being performed in the GSTR 2B vs PR Reconciliation, the client requested that the invoice count and other related details be displayed in the ""Manual Group"" section of the reconciliation summary section.""","Since multiple groupings are being performed in the GSTR 2B vs PR Reconciliation, the client requested that the invoice count and other related details be displayed in the ""Manual...",Rail Vikas Nigam Limited,1058504
100,SEM-0027,[IDT] — Supplier Name Prefix Filter Not Returning Results in Data Overview,IDT,1,1,0,510000.0,1,1.0,0.2063,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Indian Health Organisation Private Limited). ARR at risk: ₹510,000. Open tickets: 1/1. Key themes from customer descriptions: does, when, supplier, name, client, view, invoices, data. Most representative complaint: ""The client is unable to view invoices in the Data Overview section when filtering using only the initial characters of the supplier name. For example, as shown in the screenshot, typing ‘Gupshup’ does not fetch any results, whereas entering the complete supplier name does. The same issue persists fo...""","The client is unable to view invoices in the Data Overview section when filtering using only the initial characters of the supplier name. For example, as shown in the screenshot, t...",Indian Health Organisation Private Limited,1061411
101,SEM-0032,[IDT] — Request for Validation of Advance Amendment Auto-Population Functio...,IDT,1,1,0,510000.0,1,1.0,0.2063,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Indian Health Organisation Private Limited). ARR at risk: ₹510,000. Open tickets: 1/1. Key themes from customer descriptions: normally, when, client, amends, advance, government, portal, previously. Most representative complaint: ""Normally, when a client amends an advance on the government portal, the previously reported return-period value is auto-populated. However, this does not appear in Clear. This may be an API limitation, but please verify whether we can enable similar functionality within our product. Attachment provi...""","Normally, when a client amends an advance on the government portal, the previously reported return-period value is auto-populated. However, this does not appear in Clear. This may...",Indian Health Organisation Private Limited,1061414
102,SEM-0048,[IDT] — Recon Report Without Rerunning Recon,IDT,1,1,0,500000.0,1,1.0,0.2063,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trustiva Advisors LLP). ARR at risk: ₹500,000. Open tickets: 1/1. Key themes from customer descriptions: reconciliation, report, 2025, should, download, without, september, readily. Most representative complaint: ""The reconciliation report should be readily available for download without having to rerun the reconciliation each time. For example, if the reconciliation was run for September 2025 and later for October 2025, the client should be able to download the September 2025 report directly, without rerunni...""","The reconciliation report should be readily available for download without having to rerun the reconciliation each time. For example, if the reconciliation was run for September 20...",Trustiva Advisors LLP,1065089
103,SEM-0082,[IDT] — Inconsistent Document Number Matching Logic in G1 vs SR and 2B vs PR,IDT,1,1,0,500000.0,1,1.0,0.2063,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trustiva Advisors LLP). ARR at risk: ₹500,000. Open tickets: 1/1. Key themes from customer descriptions: reconciliation, document, sales, observed, inconsistency, how, numbers, slash. Most representative complaint: ""I have observed an inconsistency in how document numbers with a “/” (slash) are handled across different reconciliation modules. In Sales Reconciliation (G1 vs SR), an invoice with a slight difference in document number formatting (e.g., with or without “/”) is classified under Missing, even when al...""","I have observed an inconsistency in how document numbers with a “/” (slash) are handled across different reconciliation modules. In Sales Reconciliation (G1 vs SR), an invoice with...",Trustiva Advisors LLP,1065100
104,SEM-0028,[IDT] — Feature Request - Provide the option to ingest the GSTR-9/9C data w...,IDT,1,1,0,315000.0,1,1.0,0.2057,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (SG Mart). ARR at risk: ₹315,000. Open tickets: 1/1. Key themes from customer descriptions: feature, provide, option, ingest, gstr, data, government, offline. Most representative complaint: ""Feature Request - Provide the option to ingest the GSTR-9/9C data with the government offline utility.""",Feature Request - Provide the option to ingest the GSTR-9/9C data with the government offline utility.,SG Mart,1068429
105,SEM-0091,[IDT] — requiredG9 templet,IDT,1,1,0,0.0,1,1.0,0.2045,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (JFS - TDS Child Account (Reliance Strategic Investments Limited)). ARR at risk: ARR not available. Open tickets: 1/1. Key themes from customer descriptions: would, like, inform, you, customer, requesting, empty, template. Most representative complaint: ""We would like to inform you that the customer is requesting an empty template to fill GSTR-9 data.""",We would like to inform you that the customer is requesting an empty template to fill GSTR-9 data.,JFS - TDS Child Account (Reliance Strategic Investments Limited),1068823
106,SEM-0106,[IDT] — Activity Log,IDT,1,1,0,0.0,1,1.0,0.2045,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (ALPEX SOLAR PRIVATE LIMITED). ARR at risk: ARR not available. Open tickets: 1/1. Key themes from customer descriptions: alpex, team, requires, activity, log, users, who, logged. Most representative complaint: ""The Alpex team requires the activity log of the users who logged in into the platform so that their senior/ top level management can have a bird eye view on the user personnel.""",The Alpex team requires the activity log of the users who logged in into the platform so that their senior/ top level management can have a bird eye view on the user personnel.,ALPEX SOLAR PRIVATE LIMITED,1081612
